GPU,CNT
"""NVIDIA Class 3 NVIDIA Corporation GeForce 610M/PCIe/SSE2""",6391
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon HD 5450""",6380
"""NVIDIA Class 3 NVIDIA Corporation GeForce 9500 GT/PCIe/SSE2""",6312
"""NVIDIA Class 4 NVIDIA Corporation GeForce 930M/PCIe/SSE2""",6198
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 7700 Series""",6111
"""INTEL  Class 4 Intel Intel(R) HD Graphics 530""",6103
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 670/PCIe/SSE2""",6068
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R6 Graphics""",6027
"""INTEL  Class 3 Intel Intel(R) HD Graphics 2000""",6026
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 660 Ti/PCIe/SSE2""",6024
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M395X OpenGL Engine""",5997
"""NVIDIA Class 3 NVIDIA Corporation GeForce 210/PCIe/SSE2""",5997
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M390 OpenGL Engine""",5913
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 430/PCIe/SSE2""",5853
"""ATI    Class 4 ATI Technologies Inc. AMD 15D8:C8""",5804
"""ATI    Class 5 ATI Technologies Inc. Radeon(TM) RX 580""",5781
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 780/PCIe/SSE2""",5715
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 770M/PCIe/SSE2""",5708
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 760 (192-bit)/PCIe/SSE2""",5665
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M380 OpenGL Engine""",5653
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon(TM) R2 Graphics""",5607
"""ATI    Class 2 ATI Technologies Inc. AMD Radeon(TM) R4 Graphics""",5605
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon (TM) R7 360 Series""",5593
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon Pro 570X OpenGL Engine""",5541
"""ATI    Class 5 ATI Technologies Inc. AMD Radeon HD 5700 Series""",5471
"""INTEL  Class 3 Intel Intel(R) HD Graphics 505""",5445
"""NVIDIA Class 4 NVIDIA Corporation GeForce GT 650M/PCIe/SSE2""",5414
"""ATI    Class 4 ATI Technologies Inc. Radeon(TM) RX 550""",5368
"""INTEL  Class 3 Intel Intel(R) HD Graphics 2500""",5345
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX 1050 Ti with Max-Q Design/PCIe/SSE2""",5276
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 635M/PCIe/SSE2""",5221
"""NVIDIA Class 4 NVIDIA Corporation GeForce 9800 GT/PCIe/SSE2""",5139
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R5 Graphics""",5105
"""ATI    Class 4 ATI Technologies Inc. AMD Radeon(TM) R7 Graphics""",5060
"""ATI    Class 5 ATI Technologies Inc. Radeon RX 560X Series""",5025
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 420/PCIe/SSE2""",5021
"""INTEL  Class 4 Intel Intel(R) Iris(R) Xe Graphics""",5008
"""NVIDIA Class 5 NVIDIA Corporation GeForce GTX TITAN X/PCIe/SSE2""",4926
"""INTEL  Class 3 Intel Inc. Intel(R) Iris(TM) Plus Graphics OpenGL Engine (1x6x8 (fused) LP""",4916
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6450""",4829
"""NVIDIA Class 3 NVIDIA Corporation GeForce GT 720M/PCIe/SSE2""",4790
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon HD 6570""",4699
"""ATI    Class 3 ATI Technologies Inc. AMD Radeon R9 M395 OpenGL Engine""",4651
